index,sampleSize,totalWords,nlkt.time,spacy.time,pattern.time,textblob.time,stan.time,nlkt.puncs,spacy.puncs,pattern.puncs,textblob.puncs,stan.puncs
1,10,1389,0.191999912,0.141000032,0.141000032,0.141000032,38.17599988,111,118,114,0,111
2,10,1168,0.125,0.109000206,0.125,0.125,39.02599978,91,100,92,0,91
3,10,1742,0.17200017,0.155999899,0.187000036,0.171999931,35.74300003,123,128,124,0,123
4,10,1071,0.141000032,0.093999863,0.125,0.108999968,37.954,87,96,83,0,87
5,10,1217,0.140000105,0.108999968,0.125,0.125,37.41799998,131,137,130,0,131
6,10,1208,0.125,0.094000101,0.139999866,0.108999968,38.00100017,75,83,75,0,75
7,10,1706,0.155999899,0.156000137,0.186999798,0.156000137,37.73799992,130,144,135,0,130
8,10,1469,0.155999899,0.125,0.156000137,0.140999794,34.94700003,106,113,108,0,106
9,10,1205,0.125,0.093000174,0.140999794,0.125,35.65600014,98,109,99,0,98
10,10,1427,0.139999866,0.110000134,0.171000004,0.141000032,38.796,116,134,123,0,116
11,10,1542,0.156000137,0.125,0.155999899,0.155999899,36.69500017,145,155,145,0,145
12,10,1024,0.125,0.094000101,0.171000004,0.109999895,36.75699997,78,85,77,0,78
13,10,1524,0.156000137,0.125,0.155999899,0.156000137,39.04799986,105,119,112,0,105
14,10,1225,0.140000105,0.109999895,0.125,0.125,40.40600014,83,95,85,0,83
15,10,1255,0.125,0.108999968,0.141000032,0.217999935,35.96199989,112,121,111,0,112
16,10,745,0.108999968,0.062000036,0.078000069,0.094000101,36.29999995,48,61,51,0,48
17,10,1494,0.139999866,0.140000105,0.171999931,0.155999899,38.7650001,132,142,129,0,132
18,10,1885,0.187999964,0.155999899,0.202000141,0.171999931,42.99300003,168,202,190,0,168
19,10,1508,0.155999899,0.124000072,0.171999931,0.140000105,38.75,139,151,142,0,139
20,10,1440,0.141000032,0.124000072,0.155999899,0.140000105,41.2329998,95,97,94,0,95
21,10,1360,0.141000032,0.108999968,0.155999899,0.140000105,33.99099994,110,125,108,0,110
22,10,1372,0.141000032,0.108999968,0.156000137,0.139999866,40.17400002,123,127,120,0,123
23,10,1848,0.187000036,0.155999899,0.187000036,0.187999964,40.75500011,114,124,117,0,114
24,10,1098,0.108999968,0.108999968,0.108999968,0.109999895,37.11600018,84,97,83,0,84
25,10,1585,0.156000137,0.125,0.171999931,0.155999899,39.74000001,125,137,125,0,125
26,10,1283,0.125,0.108999968,0.140000105,0.141000032,38.96700001,101,113,103,0,101
27,10,1280,0.139999866,0.141000032,0.187000036,0.140000105,38.86599994,106,111,108,0,106
28,10,1725,0.171999931,0.140000105,0.187999964,0.171000004,37.9849999,156,163,161,0,156
29,10,1026,0.125,0.078000069,0.108999968,0.092999935,36.19300008,113,124,112,0,113
30,10,1797,0.187000036,0.155999899,0.187999964,0.202000141,43.10499978,169,175,172,0,169
31,100,14469,1.342000008,1.125999928,1.559999943,1.545000076,,1193,1292,1226,0,
32,100,13622,1.295000076,1.029999971,1.513000011,1.496999979,,1129,1214,1114,0,
33,100,15658,1.46600008,1.18599987,1.684000015,1.54399991,,1350,1439,1351,0,
34,100,14309,1.342000008,1.075999975,1.482000113,1.699999809,,1298,1398,1327,0,
35,100,14311,1.325999975,1.075999975,1.529000044,1.529000044,,1178,1266,1196,0,
36,100,13135,1.231999874,0.98300004,1.404000044,1.340999842,,1088,1204,1105,0,
37,100,14198,1.309999943,1.065999985,1.496999979,1.529000044,,1108,1192,1102,0,
38,100,14394,1.325999975,1.075999975,1.54399991,1.435000181,,1204,1288,1213,0,
39,100,13109,1.231999874,0.999000072,1.404000044,1.41899991,,1065,1185,1085,0,
40,100,15946,1.450999975,1.185000181,1.715999842,1.559999943,,1373,1470,1380,0,
41,100,13794,1.388999939,1.013999939,1.497999907,1.388999939,,1147,1238,1164,0,
42,100,13992,1.295000076,1.059999943,1.482000113,1.482000113,,1160,1270,1183,0,
43,100,13835,1.279000044,1.044999838,1.486999989,1.404000044,,1130,1252,1152,0,
44,100,14841,1.356999874,1.154000044,1.653999805,1.559999943,,1223,1335,1244,0,
45,100,13827,1.279000044,1.045000076,1.465999842,1.388999939,,1120,1223,1141,0,
46,100,12033,1.279000044,0.950999975,1.311000109,1.231999874,,911,1011,929,0,
47,100,14178,1.311000109,1.06099987,1.481999874,1.513999939,,1175,1274,1203,0,
48,100,14618,1.325999975,1.10800004,1.559999943,1.46600008,,1222,1295,1209,0,
49,100,13267,1.231999874,0.999000072,1.389000177,1.434999943,,1110,1198,1102,0,
50,100,14476,1.347000122,1.092000008,1.54399991,1.450999975,,1251,1348,1262,0,
51,100,13339,1.263999939,0.997999907,1.545000076,1.325999975,,1006,1095,1012,0,
52,100,14459,1.434999943,1.170000076,1.560000181,1.529000044,,1095,1186,1099,0,
53,100,13990,1.325999975,1.046000004,1.497999907,1.451000214,,1173,1275,1185,0,
54,100,14254,1.311000109,1.059999943,1.513000011,1.496999979,,1142,1240,1147,0,
55,100,14486,1.342000008,1.075999975,1.528000116,1.529000044,,1255,1356,1273,0,
56,100,14396,1.424000025,1.076999903,1.513000011,1.434999943,,1199,1288,1199,0,
57,100,12952,1.217000008,0.982000113,1.388999939,1.467000008,,1138,1238,1151,0,
58,100,15388,1.482000113,1.154000044,1.840999842,1.529000044,,1302,1375,1314,0,
59,100,14230,1.31099987,1.061000109,1.575999975,1.513999939,,1200,1312,1216,0,
60,100,15281,1.404000044,1.154999971,1.623000145,1.623000145,,1318,1400,1327,0,
61,1000,142240,13.24699998,10.76400018,15.36600018,14.7650001,,11674,12667,11839,0,
62,1000,138897,13.01099992,10.50400019,14.94500017,14.3360002,,11461,12433,11602,0,
63,1000,142877,13.34299994,10.80999994,16.27900004,15.55299997,,11850,12726,11947,0,
64,1000,140811,13.36899996,10.829,15.2420001,15.41799998,,11442,12402,11584,0,
65,1000,139412,13.4940002,10.51399994,15.1500001,14.36699986,,11298,12244,11433,0,
66,1000,140573,13.48099995,10.63999987,15.38100004,14.55500007,,11476,12450,11614,0,
67,1000,141986,13.32200003,10.81499982,15.50699997,14.523,,11848,12766,11950,0,
68,1000,144086,14.83899999,10.88899994,15.58000016,14.78900003,,11854,12800,11951,0,
69,1000,138587,12.96299982,10.54500008,15.16400003,14.65300012,,11258,12147,11398,0,
70,1000,145500,13.47800016,10.96600008,15.71399999,15.92799997,,11908,12969,12093,0,
71,1000,144355,13.74900007,10.92000008,15.59000015,14.72600007,,11981,12947,12122,0,
72,1000,141330,13.41599989,10.62399983,15.21000004,14.94699979,,11676,12702,11841,0,
73,1000,146280,14.1329999,10.96700001,15.90399981,14.8670001,,12211,13148,12390,0,
74,1000,141238,13.23100019,10.546,15.21000004,18.03499985,,11832,12810,12010,0,
75,1000,142402,13.49399996,10.60800004,15.33399987,14.36800003,,11621,12545,11714,0,
76,1000,141775,13.25,10.82700014,15.28200006,14.602,,11774,12741,11914,0,
77,1000,138666,12.97900009,10.41000009,14.88199997,14.30599999,,11402,12351,11506,0,
78,1000,141900,13.32200003,10.63899994,15.16599989,14.523,,11614,12612,11801,0,
79,1000,139966,13.18200016,10.50899982,15.05400014,14.24699998,,11861,12824,12028,0,
80,1000,142284,13.18199992,10.70099998,15.37100005,14.6960001,,11531,12542,11703,0,
81,1000,141792,13.27999997,10.68599987,15.25699997,14.86899996,,11542,12482,11631,0,
82,1000,139263,13.15100002,10.71799994,15.49300003,14.6329999,,11421,12311,11515,0,
83,1000,142852,13.43599987,10.93600011,15.39699984,14.9289999,,11754,12712,11878,0,
84,1000,140026,13.35400009,10.51999998,15.3499999,14.7420001,,11481,12447,11654,0,
85,1000,144081,13.62400007,10.81099987,15.71799994,14.86699986,,11897,12824,12032,0,
86,1000,138494,13.08899999,10.32999992,14.85100007,14.3210001,,11531,12422,11616,0,
87,1000,144027,13.49399996,10.90400004,15.63400006,14.71099997,,11933,12798,12038,0,
88,1000,141800,13.33799982,10.68600011,15.56900001,14.57599998,,11833,12734,11869,0,
89,1000,144052,13.36899996,10.76400018,15.44900012,14.8829999,,11684,12647,11864,0,
90,1000,138744,13.10399985,10.56200004,14.91300011,14.46700001,,11395,12352,11452,0,
91,10000,1403032,132.4160001,106.2950001,152.7580001,147.5050001,,115969,125450,117242,0,
92,10000,1421590,133.7250001,107.632,153.7419999,147.974,,117142,126635,118376,0,
93,10000,1401568,132.704,106.415,152.7939999,144.029,,116033,125550,117223,0,
94,10000,1413414,138.131,124.414,163.063,147.763,,117521,127235,118857,0,
95,10000,1424763,135.0960002,107.289,154.0810001,145.825,,118276,127545,119271,0,
96,10000,1417594,134.1569998,108.566,952.8510001,133.9649999,,117188,126601,118405,0,
97,10000,1418566,111.779,93.88599992,126.286,120.1389999,,118317,127675,119515,0,
98,10000,1432459,111.7,96.85000014,129.7019999,122.605,,118746,128401,119991,0,
99,10000,1410211,109.2980001,94.61799979,136.9349999,127.411,,115658,124900,116466,0,
100,10000,1408237,110.4629998,94.77900004,130.0910001,119.7979999,,116857,126299,117996,0,
101,10000,1407045,110.8099999,95.1190002,127.1429999,119.4389999,,115705,125007,116872,0,
102,10000,1413405,109.4459999,94.25999999,128.1670001,119.0320001,,117069,126517,118247,0,
103,10000,1405977,107.72,95.84500003,136.5680001,121.743,,115609,125066,116793,0,
104,10000,1405639,108.517,93.33800006,128.1270001,118.0970001,,116441,125878,117602,0,
105,10000,1402934,108.355,93.37899995,126.9430001,118.207,,114977,124557,115954,0,
106,10000,1400254,107.6129999,92.97899985,126.2149999,118.7049999,,115368,124908,116577,0,
107,10000,1415083,108.9550002,94.02200007,133.444,120.3759999,,118022,127368,119113,0,
108,10000,1407534,108.6560001,95.87399983,128.9139998,122.2319999,,116832,126422,118192,0,
109,10000,1404238,110.608,95.22799993,125.352,119.5940001,,115668,124941,116653,0,
110,10000,1418882,109.1440001,97.42299986,131.5800002,120.3740001,,118423,128053,119757,0,
111,10000,1421145,110.4819999,95.74000001,129.451,120.2479999,,117955,127567,119223,0,
112,10000,1423126,108.546,98.74600005,129.158,120.059,,118126,127672,119454,0,
113,10000,1414157,107.8859999,93.72800016,127.237,123.2420001,,116828,126275,117951,0,
114,10000,1417681,110.1099999,94.63100004,128.2360001,119.517,,117214,126889,118472,0,
115,10000,1415187,108.5739999,93.65100002,128.766,119.1890001,,117162,126816,118465,0,
116,10000,1402031,106.8629999,92.97900009,125.681,119.8759999,,115346,124717,116587,0,
117,10000,1414865,108.918,94.2579999,126.6229999,120.6590002,,117042,126392,118237,0,
118,10000,1405872,108.665,93.58899999,125.5209999,117.77,,115589,125152,116833,0,
119,10000,1411803,108.517,94.05400014,125.835,121.8210001,,116946,126543,118206,0,
120,10000,1401588,109.2509999,95.09100008,125.3330002,118.299,,115694,125385,117104,0,
